Course Code;Course Name;Credits
CS 101;Algorithms and Programming I;4
CS 102;Algorithms and Programming II;4
CS 115;Introduction to Programming in Python;4
CS 121;Introduction to Computer Tools;3
CS 123;Introduction to Computing and Programming;3
CS 153;Introduction to Computer Graphics;3
CS 154;Introduction to Web Design;3
CS 155;Interactive Media Design and Development;3
CS 201;Fundamental Structures of Computer Science I;3
CS 202;Fundamental Structures of Computer Science II;3
CS 223;Digital Design;4
CS 224;Computer Organization;4
CS 281;Computers and Data Organization;3
CS 299;Summer Training I;0
CS 315;Programming Languages;3
CS 319;Object-Oriented Software Engineering;4
CS 342;Operating Systems;4
CS 353;Database Systems;3
CS 399;Summer Training II;0
CS 411;Software Architecture Design;3
CS 413;Software Engineering Project Management;3
CS 415;Software Product Line Engineering;3
CS 421;Computer Networks;3
CS 423;Computer Architecture;3
CS 425;Algorithms for Web-Scale Data;3
CS 426;Parallel Computing;3
CS 431;Embedded Systems;3
CS 432;Machine-to-Machine (M2M) Systems;3
CS 442;Distributed Systems and Algorithms;3
CS 443;Cloud Computing and Mobile Applications;3
CS 453;Application Lifecycle Management;3
CS 458;Software Verification and Validation;3
CS 461;Artificial Intelligence;3
CS 464;Introduction to Machine Learning;3
CS 465;Computer Graphics I;3
CS 471;Numerical Methods;3
CS 473;Algorithms I;3
CS 476;Automata Theory and Formal Languages;3
CS 479;Introduction to Cyber Security;3
CS 481;Bioinformatics Algorithms;3
CS 484;Image Analysis;3
CS 490;Introduction to Research in Computer Engineering and Science;3
CS 491;Senior Design Project I;3
CS 492;Senior Design Project II;3
CS 498;Individual Study;4
CS 499;Individual Study;3
CS 502;Algorithms II;3
CS 513;Implications of the Internet;3
CS 515;Mobile and Wireless Networking;3
CS 527;Advances in Switching Networks;3
CS 528;Advances in Switching Networks II;3
CS 533;Information Retrieval Systems;3
CS 541;Chip Multiprocessors;3
CS 545;Fundamentals of Stream Processing;3
CS 550;Machine Learning;3
CS 551;Pattern Recognition;3
CS 553;Intelligent Data Analysis;3
CS 557;Computational Systems Biology;3
CS 558;Data Mining;3
CS 559;Deep Learning;3
CS 564;Computational Geometry;3
CS 565;Application of Computer Graphics;3
CS 568;Advanced Topics in Computer Graphics;3
CS 573;Algorithms I;3
CS 577;Data Privacy;3
CS 578;Natural Language Processing;3
CS 579;Biometrics;3
CS 590;Research Seminar I;0
CS 599;Master's Thesis;0
CS 612;Algorithms for Electronic Design Automation;3
CS 681;Advanced Topics in Computational Biology;3
CS 683;Cloud Computing;3
CS 690;Research Seminar II;0
CS 699;Ph.D. Dissertation;0
EEE 102;Introduction to Digital Circuit Design;4
EEE 202;Circuit Theory;4
EEE 211;Analog Electronics;4
EEE 212;Microprocessors;4
EEE 299;Summer Training I;0
EEE 313;Electronic Circuit Design;4
EEE 314;Digital Electronics;4
EEE 321;Signals and Systems;4
EEE 342;Feedback Control Systems;3
EEE 351;Engineering Electromagnetics;3
EEE 352;Applied Electromagnetics;3
EEE 391;Basics of Signals and Systems;3
EEE 399;Summer Training II;0
EEE 411;Telecommunication Electronics;4
